;;;;
;Wavelength (nm);ON/OFF GAIN (dB);NFeq (dB);
;1529.70;14.60;-0.99;
;1530.50;14.59;-1.01;
;1531.30;14.56;-1.02;
;1532.10;14.38;-1.01;
;1532.90;14.26;-1.02;
;1533.70;14.20;-1.03;
;1534.50;14.15;-1.04;
;1535.30;14.13;-1.06;
;1536.10;14.19;-1.08;
;1536.90;14.20;-1.10;
;1537.70;14.19;-1.11;
;1538.50;14.19;-1.13;
;1539.30;14.21;-1.15;
;1540.10;14.26;-1.17;
;1540.90;14.31;-1.19;
;1541.70;14.35;-1.21;
;1542.50;14.43;-1.24;
;1543.30;14.58;-1.27;
;1544.10;14.71;-1.31;
;1544.90;14.72;-1.32;
;1545.70;14.65;-1.32;
;1546.50;14.57;-1.32;
;1547.30;14.41;-1.30;
;1548.10;14.27;-1.29;
;1548.90;14.01;-1.26;
;1549.70;13.63;-1.21;
;1550.50;13.32;-1.17;
;1551.30;13.00;-1.13;
;1552.10;12.62;-1.08;
;1552.90;12.27;-1.03;
;1553.70;12.04;-1.00;
;1554.50;11.79;-0.97;
;1555.30;11.57;-0.95;
;1556.10;11.39;-0.93;
;1556.90;11.24;-0.91;
;1557.70;11.11;-0.89;
;1558.50;10.99;-0.88;
;1559.30;10.89;-0.87;
;1560.10;10.82;-0.86;
;"     ];";;;